Sensor,Description
Heat,"Temperature Sensor(LM35),Heat Flux Sensor,RTD Sensor (MAX31865)"
Heat,Thermistor (10D9)
Fire,"Temperature Sensor(LM35),Thermistor (10D9),Heat Flux Sensor,RTD Sensor (MAX31865)"
Temp,"Temperature Sensor(LM35),Thermistor (10D9),Heat Flux Sensor,RTD Sensor (MAX31865)"
weather,"Temperature Sensor(LM35),Humidity Sensor(DHT11),RTD Sensor (MAX31865)"
Sun,"Temperature Sensor(LM35),Thermistor (10D9),Heat Flux Sensor,RTD Sensor (MAX31865)"
Blow,Temperature Sensor(LM35)
Warm,"Temperature Sensor(LM35),Thermistor (10D9),Heat Flux Sensor,RTD Sensor (MAX31865)"
Diy Water Chiller,Temperature Sensor(LM35)
Obstacle,"IR sensor(Active Low),Ultrasonic Sensor(HC-SR04),"
Line follower,"IR sensor(Active Low),IR sensor(Active Low) Array,"
Infrared (Same as 21),"IR sensor(Active Low),PIR (HC-SR501),"
Line tracker,"IR sensor(Active Low),IR sensor(Active Low) Array,"
Black/White detector ,"IR sensor(Active Low),IR sensor(Active Low) Array,Colour Detector Module"
proximity (Same as 20),"IR sensor(Active Low),Inductive Sensor,PIR"
tracker,"IR sensor(Active Low),IR sensor(Active Low) Array,GPS"
Donation Box,IR sensor(Active Low)
Hand Santizer,IR sensor(Active Low)
Presence,"PIR (HC-SR501),Photoelectric Sensor,Proximity Sensor"
security,"Alarm Sensor(magnetic Switch ),Reed switch,PIR (HC-SR501)sensor(Active Low),Light Sensor (LDR),Metal Detector"
Human Presence,"PIR (HC-SR501),Camera ModuleIR sensor(Active Low),Ultrasonic Sensor(HC-SR04)"
Motion,"PIR (HC-SR501),Camera ModuleIR sensor(Active Low),Ultrasonic Sensor(HC-SR04)"
Proximity (Same as 14),"PIR(HC-SR501),Inductive Sensor,IR sensor(Active Low)"
Infrared (Same as 11),"PIR (HC-SR501),IR sensor(Active Low),"
Motion sensor,PIR (HC-SR501)
Warm object,"PIR (HC-SR501),Temperature Sensor(LM35),"
Thief Detector,PIR (HC-SR501)
Humidity,Humidity Sensor(DHT11)
